,Rasmussen Jacob,Duursma Iwan Maynard,Thorner Jesse,Balogh József,Cooney Daniel B,Feng Runhuan,Hirani Anil N,Mineyev Igor,La Nave Gabriele,Guzman Rosemary K,Junge Marius,Stojanoska Vesna,Reznick Bruce,Hur Vera Mikyoung,Berwick-Evans Daniel,Wei Wei,Quan Zhiyu,Kedem Rinat,Ahlgren Scott D,Fernandes Rui Loja,Rapti Zoi,Kutzarova Denka N,Kirr Eduard,Ivanov Sergei Vladimirovich,Bronski Jared C,Oikhberg Timur,Kerman Ely,Janda Felix,Ford Kevin B,Laugesen Richard Snyder,Mc Carthy Randy,Young Amanda,Tyson Jeremy T,Zaharescu Alexandru,Li Xiaochun,Jing Xiaochen,Hung Pei-Ken,Rasmussen Sarah Dean,De Ville R E Lee,Sowers Richard B,Albin Pierre,Fadina Tolulope,Baryshnikov Yuliy M,Heller Jeremiah Ben,Tzirakis Nikolaos,Wu Xuan,Leditzky Felix,Dey Partha Sarathi,Nikolaev Igor G,Yong Alexander T F,Song Renming,Tumanov Alexander,Erdoğan Mehmet Burak,Dodd Christopher,Boca Florin-Petre,Kirkpatrick Kay Lene,Lerman Eugene M,Hinkkanen Aimo,Pascaleff James Thomas,Di Francesco Philippe,Zharnitsky Vadim,Liu Yuan,Rezk Charles W,Dutta Sankar Prasad,Dunfield Nathan M,Bradlow Steven Benjamin,Haboush William J,Tolman Susan,Katz Sheldon H,Kostochka Alexandr V
Albin Pierre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fadina Tolulope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baryshnikov Yuliy M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Heller Jeremiah Ben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tzirakis Nikolaos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Wu Xuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leditzky Felix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dey Partha Sarathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolaev Igor G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yong Alexander T F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Song Renming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumanov Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erdoğan Mehmet Burak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Dodd Christopher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
